Collection ID,Image Link,Phylum (门),Order (目),Family (科),Genus (属),Scientific Name,Chinese Name,Identified By,Date Identified,Collector,Collection Number,Collection Date,Collection Location,Altitude,Habitat,Phenology
e9605376,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=01841109,维管植物门,蔷薇目,蔷薇科,委陵菜属,Potentilla tanacetifolia Willd. ex Schlecht.,菊叶委陵菜,谷粹芝,20090225.0,,神东X8,19650730.0,中国 陕西省,,,有花无果
e9604d89,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=01841119,维管植物门,蔷薇目,蔷薇科,委陵菜属,Potentilla sischanensis Bunge ex Lehm.,西山委陵菜,谷粹芝,20080700.0,,5135,19830803.0,中国 宁夏回族自治区,,,有花无果
e96056bb,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=01841103,维管植物门,蔷薇目,蔷薇科,委陵菜属,Potentilla tanacetifolia Willd. ex Schlecht.,菊叶委陵菜,谷粹芝,20090225.0,"杨雅玲,张桂芝,张玉良",295,19730723.0,中国 辽宁省,1300.0,生于固定沙丘间平地草地,有花无果
e96057d0,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=01841100,维管植物门,蔷薇目,蔷薇科,委陵菜属,Potentilla limprichtii J.Krause,下江委陵菜,谷粹芝,20090224.0,F.H.Chen,2224,,中国,,,有花无果
e96053fe,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=01841108,维管植物门,蔷薇目,蔷薇科,委陵菜属,Potentilla tanacetifolia Willd. ex Schlecht.,菊叶委陵菜,谷粹芝,20090225.0,,5号3,19650717.0,中国 陕西省,,,有花无果
e960548b,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=01841107,维管植物门,蔷薇目,蔷薇科,委陵菜属,Potentilla tanacetifolia Willd. ex Schlecht.,菊叶委陵菜,谷粹芝,20090225.0,"吴佐祺,刘中民",2213-324,19630600.0,中国 内蒙古自治区,,,有花无果
e9604b65,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=01841124,维管植物门,蔷薇目,蔷薇科,委陵菜属,Potentilla simulatrix Th.Wolf.,等齿委陵菜,谷粹芝,20080700.0,吴玉虎等,4265,19860806.0,中国 青海省,,阳山坡,有花无果
e9605263,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=01841111,维管植物门,蔷薇目,蔷薇科,委陵菜属,Potentilla multifida Baker & S.Moore,多裂委陵菜,谷粹芝,20090226.0,李捷,141,19930703.0,中国 甘肃省,2400.0,阳坡,有花无果
e960551c,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=01841106,维管植物门,蔷薇目,蔷薇科,委陵菜属,Potentilla tanacetifolia Willd. ex Schlecht.,菊叶委陵菜,谷粹芝,20090225.0,,乌158,,中国 内蒙古自治区,1380.0,巴银白利与油蒿白草混生,有花无果
e9603ca5,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=01841151,维管植物门,蔷薇目,蔷薇科,委陵菜属,Potentilla reptans Linn. var. sericophylla Franch.,绢毛匍匐委陵菜,谷粹芝,20081100.0,郭成勇,051061-1,20050501.0,中国 山东省,250.0,山坡荒地,有花无果
e9603b95,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=01841153,维管植物门,蔷薇目,蔷薇科,委陵菜属,Potentilla reptans Linn. var. sericophylla Franch.,绢毛匍匐委陵菜,谷粹芝,20081100.0,李才贵,155,19640428.0,中国 山西省,,草地,有花无果
e96039f9,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=01841156,维管植物门,蔷薇目,蔷薇科,委陵菜属,Potentilla reptans Linn. var. sericophylla Franch.,绢毛匍匐委陵菜,谷粹芝,20081100.0,新乡师范学院,23569,19590000.0,中国 河南省,,,有花无果
e9604934,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=01841128,维管植物门,蔷薇目,蔷薇科,委陵菜属,Potentilla saundersiana Royle var. caespitosa (Lehm.) Wolf,丛生钉柱委陵菜,谷粹芝,20090225.0,,9748,19590620.0,中国 新疆维吾尔自治区,3500.0,山顶上,有花无果
