Collection ID,Image Link,Phylum (门),Order (目),Family (科),Genus (属),Scientific Name,Chinese Name,Identified By,Date Identified,Collector,Collection Number,Collection Date,Collection Location,Altitude,Habitat,Phenology
e94a21d9,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=01851575,维管植物门,卫矛目,卫矛科,梅花草属,Parnassia leptophylla Hand.-Mazz.,细裂梅花草,谷粹芝,20090500.0,巴山采集队,2499,20080726.0,中国 重庆市,2100,山谷杂木林下,有花无果
e912d546,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=01881355,维管植物门,卫矛目,卫矛科,南蛇藤属,Celastrus glaucophyllus Rehder & Wilson,灰叶南蛇藤,沐先运,20110329.0,"李渤生,倪志诚,程树志",6812,19830826.0,中国 西藏自治区,2400~2600,沟谷杂木林中,无花有果
e96ad163,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=01836193,维管植物门,菊目,菊科,藿香蓟属,Ageratum conyzoides Linn.,藿香蓟,陈艺林,20090217.0,刘淼等,A40090,20050727.0,中国 安徽省,350,山坡桑园边,有花无果
e947c8fb,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=01852894,维管植物门,木兰目,木兰科,含笑属,Michelia chapensis Dandy,乐昌含笑,曾庆文,20110110.0,税玉民等,70129,20060222.0,中国 云南省,1600~1700,河边,无花有果
e94e4890,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=01849598,维管植物门,杜鹃花目,报春花科,珍珠菜属,Lysimachia auriculata Hemsl.,耳叶珍珠菜,李振宇,20090817.0,白水江考察队,1149,20060704.0,中国 甘肃省,1000,山坡林下,有花无果
e91c3ecd,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=01873137,维管植物门,缨子木目,旌节花科,旌节花属,Stachyurus chinensis Franch.,中国旌节花,赖阳均,20110923.0,巴山采集队,5558,20110712.0,中国 四川省,2100,林下,无花有果
e92dc3fa,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=01864877,维管植物门,山茱萸目,绣球科,常山属,Dichroa febrifuga Lour.,常山,谷粹芝,201102.0,PE-古蔺考察队,0756,20100905.0,中国 四川省,1151~1610,山谷，林中,无花有果
e95f08f3,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=01841755,维管植物门,石竹目,石竹科,繁缕属,Stellaria vestita Kurz,箐姑草,李安仁,20090400.0,白水江考察队,1972,20060714.0,中国 甘肃省,1400,山坡路边,有花无果
e9550a56,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=01846422,维管植物门,蔷薇目,荨麻科,水麻属,Debregeasia orientalis C.J.Chen,水麻,林祁,20100524.0,"熊济华,周子林",90093,19570402.0,中国 重庆市,900,路旁,有花无果
e943ccbb,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=01854533,维管植物门,禾本目,禾本科,野青茅属,Deyeuxia pulchella Hook.f.,小丽茅,B.Paszko,20090500.0,王富葆,7-7,19740828.0,中国 西藏自治区,4500~4900,长于冰碛丘陵上,有花无果
e94e23fc,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=01849666,维管植物门,唇形目,唇形科,钩子木属,Rostrinucula dependens (Rehd.) Kudo,钩子木,李振宇,20090814.0,白水江采集队,2221,20060818.0,中国 甘肃省,1400,山坡杂木林,有花无果
e9390c58,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=01859573,维管植物门,木兰藤目,五味子科,五味子属,Schisandra henryi C.B.Clarke,翼梗五味子,林祁,20100702.0,税玉民等,70537,20060621.0,中国 云南省,1900~2000,林下路边,无花有果
e9440ec9,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=01854413,维管植物门,禾本目,禾本科,拂子茅属,Calamagrostis pseudophragmites (Peterm.) Soo,假苇拂子茅,B.Paszko,20090500.0,"杨昌友,尤鲁斯",740516,19730703.0,中国 新疆维吾尔自治区,1700.0,河谷,有花无果
e91a735f,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=01877778,维管植物门,唇形目,唇形科,青兰属,Dracocephalum heterophyllum Benth.,白花枝子花,Q.Wang,20121016.0,PE-西藏队,01550,20100820.0,中国 西藏自治区,4610~4690,高山砾石滩,有花无果
e96d9cc0,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=01834872,维管植物门,菊目,菊科,鬼针草属,Bidens biternata (Lour.) Merr. & Sherff,金盏银盘,陈艺林,20090212.0,刘伟心,455,19530804.0,中国 云南省,1260.0,路旁密林中,有花无果
e9329a84,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=01862601,维管植物门,蔷薇目,荨麻科,楼梯草属,Elatostema involucratum Franch. & Sav.,楼梯草,"林祁,段林东",20110217.0,"赵常明,葛结林,罗璐",EX1555,20080807.0,中国 湖北省,1450,林下,有花无果
e93d3071,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=01857628,维管植物门,蔷薇目,蔷薇科,悬钩子属,Rubus setchuenensis Bureau & Franch.,川莓,L. T. Lu,20100901.0,三峡考察队,2771,20090828.0,中国 重庆市,1200~1386,峡谷,无花有果
e95448d8,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=01846804,维管植物门,蔷薇目,荨麻科,冷水花属,Pilea monilifera Hand.-Mazz.,念珠冷水花,林祁,20100702.0,刘正宇,2053,19940721.0,中国 重庆市,1340,阴湿地,有花无果
e92668da,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=01868340,维管植物门,杜鹃花目,报春花科,珍珠菜属,Lysimachia clethroides Duby,矮桃,Gang Hao,20110324.0,三峡考察队,357,20070916.0,中国 重庆市,1464~600,山坡林缘、沟边,无花有果
e9393468,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=01859498,维管植物门,毛茛目,毛茛科,铁线莲属,Clematis meyeniana Walp.,毛柱铁线莲,Wenjing Yang,20090730.0,张彩飞,1680,20081102.0,中国 广西壮族自治区,1350.0,山坡杂灌林中,无花有果
e959ce1b,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=01844213,维管植物门,禾本目,莎草科,薹草属,Carex atrofusca Stev. subsp. minor (Boott) T.Koyama,黑褐缘苔草,梁松筠,20090326.0,杨永昌,1094,19650707.0,中国 青海省,4700,山顶草山,有花无果
e9537aa1,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=01847193,维管植物门,蔷薇目,荨麻科,蝎子草属,Girardinia diversifolia (Link) I.Friis,大蝎子草,林祁,20100702.0,赵佐成,1267,19930927.0,中国 四川省,900,林边湿地,有花无果
e92dc511,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=01864874,维管植物门,山茱萸目,绣球科,常山属,Dichroa febrifuga Lour.,常山,谷粹芝,201102.0,PE-古蔺考察队,0425,20100905.0,中国 四川省,1502~850,山谷，林中,无花有果
